"name","essround","edition","proddate","idno","cntry","dweight","pweight","nobingnd","likrisk","liklead","sothnds","actcomp","mascfel","femifel","impbemw","trmedmw","trwrkmw","trplcmw","trmdcnt","trwkcnt","trplcnt","eqwrkbg","eqpolbg","eqmgmbg","eqpaybg","eqparep","eqparlv","freinsw","fineqpy","wsekpwr","weasoff","wlespdm","wexashr","wprtbym","wbrgwrm","hhmmb","gndr","yrbrn","agea","rshpsts","dvrcdeva","marsts","maritalb","chldhhe","domicil","paccmoro","paccdwlr","pacclift","paccnbsh","paccocrw","paccxhoc","paccnois","paccinro","paccnt","paccref","paccdk","paccna","edulvlb","eisced","eduyrs","pdwrk","edctn","uempla","uempli","dsbld","rtrd","cmsrv","hswrk","dngoth","dngref","dngdk","dngna","mainact","mnactic","crpdwk","pdjobev","pdjobyr","emplrel","emplno","wrkctra","estsz","jbspv","njbspv","wkdcorga","iorgact","wkhct","wkhtot","nacer2","tporgwk","isco08","wrkac6m","uemp3m","uemp12m","uemp5yr","mbtru","hincsrca","hinctnta","hincfel","edulvlpb","eiscedp","pdwrkp","edctnp","uemplap","uemplip","dsbldp","rtrdp","cmsrvp","hswrkp","dngothp","dngdkp","dngnapp","dngrefp","dngnap","mnactp","crpdwkp","isco08p","emprelp","wkhtotp","edulvlfb","eiscedf","emprf14","edulvlmb","eiscedm","emprm14","prob","stratum","psu"
"ESS11e01",11,"1.0","20.06.2024",50069,"CH",1,0.54108554,1,2,2,3,5,5,0,0,3,3,3,3,1,3,4,6,6,5,3,2,2,2,3,3,4,2,3,3,2,1,1957,66,1,1,66,1,2,4,0,0,0,0,0,0,0,0,1,0,0,0,421,5,9,1,0,0,0,0,0,0,0,0,0,0,0,66,1,6,6,6666,1,66666,2,2,1,8,9,4,13,13,86,4,2221,2,1,2,2,2,1,5,1,229,2,1,0,0,0,0,0,0,0,0,0,0,0,0,66,6,5151,1,34,520,5,1,322,3,1,0.0004059765,117,1303
"ESS11e01",11,"1.0","20.06.2024",50103,"CH",1,0.54108554,1,4,5,5,6,5,0,0,3,3,3,3,1,3,6,6,6,6,4,1,2,2,3,4,3,2,2,3,3,1,1993,30,1,2,66,1,6,4,0,0,0,0,0,0,0,0,1,0,0,0,710,7,13,1,0,0,0,0,0,0,0,0,0,0,0,66,1,6,6,6666,1,66666,1,2,1,2,10,7,40,60,41,4,4419,2,2,6,6,3,1,7,1,322,3,1,0,0,0,0,0,0,1,0,0,0,0,0,8,6,7543,1,10,322,3,1,322,3,3,0.0004059765,119,2029
"ESS11e01",11,"1.0","20.06.2024",50131,"CH",1,0.54108554,1,4,6,6,6,6,0,6,3,1,3,3,8,2,6,5,6,6,3,8,4,1,5,3,8,2,2,2,1,1,1976,47,66,2,6,6,2,4,0,0,0,0,0,0,0,0,1,0,0,0,720,7,16,1,0,0,0,0,0,0,0,0,0,0,0,66,1,6,6,6666,1,66666,1,2,1,10,9,2,42,48,56,4,99999,2,2,6,6,3,1,2,3,6666,66,0,0,0,0,0,0,0,0,0,0,1,0,0,66,6,66666,6,666,720,7,2,322,3,1,0.0004059765,120,1351
"ESS11e01",11,"1.0","20.06.2024",50160,"CH",1,0.54108554,2,2,5,5,6,1,6,5,3,3,3,3,3,3,3,3,3,3,2,3,3,3,4,4,3,3,2,2,5,2,2006,17,66,2,6,6,9,4,0,0,0,0,0,0,0,0,1,0,0,0,213,2,10,0,1,0,0,0,0,0,0,0,0,0,0,66,2,2,2,6666,6,66666,6,6,6,66666,66,66,666,666,666,66,66666,6,2,6,6,3,1,88,1,6666,66,0,0,0,0,0,0,0,0,0,0,1,0,0,66,6,66666,6,666,720,7,1,322,3,2,0.0004059765,121,1820
"ESS11e01",11,"1.0","20.06.2024",50211,"CH",1,0.54108554,2,1,4,5,5,0,4,5,3,2,3,3,1,3,3,6,6,6,1,4,1,1,2,4,4,1,3,3,3,2,1995,28,1,2,66,1,6,3,0,0,0,0,0,0,0,0,1,0,0,0,610,6,15,1,0,0,0,0,0,0,0,0,0,0,0,66,1,6,6,6666,1,66666,1,1,2,66666,10,0,20,20,88,4,3412,2,2,6,6,3,1,6,1,520,5,1,0,0,0,0,0,0,0,0,0,0,0,0,66,6,7421,1,45,213,2,1,520,5,1,0.0004059765,117,1867
"ESS11e01",11,"1.0","20.06.2024",50213,"CH",1,0.54108554,1,4,5,5,5,5,0,5,3,3,3,1,3,3,5,5,5,5,4,1,1,2,3,2,3,3,2,3,1,1,1979,44,66,2,6,6,2,4,0,0,0,0,0,0,0,0,1,0,0,0,322,3,12,1,0,0,0,0,0,0,0,0,0,0,0,66,1,6,6,6666,1,66666,1,4,2,66666,8,8,40,42,20,4,1324,2,2,6,6,3,1,6,1,6666,66,0,0,0,0,0,0,0,0,0,0,1,0,0,66,6,66666,6,666,8888,88,1,8888,88,1,0.0004059765,118,1974
"ESS11e01",11,"1.0","20.06.2024",50236,"CH",1,0.54108554,2,4,5,5,5,0,6,5,3,3,3,3,3,1,2,4,5,5,2,3,2,1,3,4,4,3,3,2,2,2,1944,79,1,2,66,1,2,2,0,0,0,0,0,0,0,0,1,0,0,0,322,3,11,0,0,0,0,0,1,0,0,0,0,0,0,66,6,2,1,2004,1,66666,1,3,1,23,9,7,43,42,86,2,2221,2,2,6,6,3,4,8,1,720,7,0,0,0,0,0,1,0,0,0,0,0,0,0,66,2,66666,6,666,520,5,1,322,3,3,0.0004059765,118,1061
"ESS11e01",11,"1.0","20.06.2024",50315,"CH",1,0.54108554,2,4,5,5,5,1,3,5,3,3,3,3,3,3,5,5,2,5,4,2,3,3,3,3,3,3,4,4,2,2,1989,34,3,2,6,6,2,3,0,0,0,0,0,0,0,0,1,0,0,0,322,3,9,1,0,0,0,0,0,0,0,0,0,0,0,66,1,6,6,6666,1,66666,1,5,1,5,3,4,42,45,84,1,4320,2,2,6,6,1,1,7,1,113,1,1,0,0,0,0,0,0,0,0,0,0,0,0,66,6,2330,1,36,322,3,1,213,2,1,0.0004059765,117,1356
"ESS11e01",11,"1.0","20.06.2024",50324,"CH",1,0.54108554,2,1,3,5,5,0,5,4,3,3,3,3,1,3,4,4,4,5,4,4,2,3,4,4,3,2,2,2,5,2,1971,52,1,2,66,1,6,4,0,0,0,0,0,0,0,0,1,0,0,0,322,3,9,1,0,0,0,0,0,0,0,0,0,0,0,66,1,6,6,6666,1,66666,1,2,2,66666,3,5,10,10,91,2,4415,2,2,6,6,3,1,5,1,322,3,1,0,0,0,0,0,0,0,0,0,0,0,0,66,6,8121,1,42,322,3,2,113,1,3,0.0004059765,120,1791
"ESS11e01",11,"1.0","20.06.2024",50355,"CH",1,0.54108554,2,3,5,5,6,0,6,6,3,2,4,3,1,3,6,6,6,6,2,2,2,1,4,4,4,3,2,2,2,2,1953,70,1,1,66,1,1,4,0,0,0,0,0,0,0,0,1,0,0,0,312,4,8,0,0,0,0,0,1,0,0,0,0,0,0,66,6,2,1,2016,1,66666,1,1,1,8,8,6,42,42,888,4,4222,2,2,6,6,3,4,4,2,312,4,0,0,0,0,0,1,0,0,0,0,0,0,0,66,2,66666,6,666,312,4,2,212,2,2,0.0004059765,119,1038
